Name	Set	ImageFile	Errata	Restricted	Cycle	Pack	Release Order	Edition	Unique	Faction	Type	SubType	Cost	Terror	Combat	Arcane	Investigation	Skill	Text
																			
Thomas F. Malone, Haunted Police Detective	Core	Core001			Core	Core	,01-001	LCG	*	Agency	Character	Investigator.	4		2			5	Heroic. Response: After resolving a story to which Thomas F. Malone is committed, choose and destroy an opponent's Villainous or Cultist character that was committed to that story.
Kirby O'Donnell, Adventurer Abroad	Core	Core002			Core	Core	,01-002	LCG	*	Agency	Character	Investigator.	3		1		1	2	Heroic. While Kirby O'Donnell is committed to a story, each Heroic character gains C and each Villainous character loses T.
Local Sheriff	Core	Core003			Core	Core	,01-003	LCG		Agency	Character	Investigator.	4		1		1	4	Willpower. Action: Pay 1 to return Local Sheriff to your hand if it entered your discard pile this phase.
Paul LeMond, Tormented Psychic	Core	Core004			Core	Core	,01-004	LCG	*	Agency	Character	Government.	1					1	Action: Pay 1 to choose a character. Until the end of the phase, Paul LeMond gains all of that character's printed icons.
Professor Hermann Mulder, Bureau Consultant	Core	Core005			Core	Core	,01-005	LCG	*	Agency	Character	Government.	1		2	1		4	Professor Hermann Mulder goes insane at any time there are 6 or more characters in play.
Monster Hunter	Core	Core006			Core	Core	,01-006	LCG		Agency	Character	Sorcerer.	3		1	1		2	Response: After you win an icon struggle by at least 2 icons, pay 2 to choose and wound a character with skill 2 or lower.
Undercover Security	Core	Core007			Core	Core	,01-007	LCG		Agency	Character	Investigator.	2		1		1	2	Heroic. Willpower.
Hired Muscle	Core	Core008			Core	Core	,01-008	LCG		Agency	Character	Criminal.	3		3			3	Toughness +1.
Freelance Occultist	Core	Core009			Core	Core	,01-009	LCG		Agency	Character	Investigator.	3		1	1		2	Fast.
Blackwood File Clerk	Core	Core010			Core	Core	,01-010	LCG		Agency	Character	Investigator.	2				1	3	
Peeler	Core	Core011			Core	Core	,01-011	LCG		Agency	Character	Investigator.	2		2			1	Peeler gains Willpower while there is at least 1 Attachment card in play.
T-Men	Core	Core012			Core	Core	,01-012	LCG		Agency	Character	Government.	5		3			3	Forced Response: After T-Men enters play, choose and wound a character.
G-Men	Core	Core013			Core	Core	,01-013	LCG		Agency	Character	Government.	6		4			6	Heroic. Toughness +3. Willpower.
Shotgun	Core	Core014			Core	Core	,01-014	LCG		Agency	Support	Attachment. Weapon.	1						Attach to a character. While attached character is committed to a story, it gains "Action: Pay 1 to choose and wound a character committed to this story."
Patrol Wagon	Core	Core015			Core	Core	,01-015	LCG		Agency	Support	Attachment. Vehicle.	1						Attach to a character. Attached character gains Toughness +1. Disrupt: Pay 2 to cancel 1 wound to attached character.
Shotgun Blast	Core	Core016			Core	Core	,01-016	LCG		Agency	Event		X						Action: Choose and wound a character with skill X or lower.
Short Fuse	Core	Core017			Core	Core	,01-017	LCG		Agency	Event		3						Play during your operations phase. Action: Choose a character. Give that character 7 wounds.
Torch the Joint!	Core	Core018			Core	Core	,01-018	LCG		Agency	Event		2						Play during your operations phase. Action: Choose and destroy a non-[Agency] resource or a Location support card.
Small Price to Pay	Core	Core019			Core	Core	,01-019	LCG		Agency	Event		1						Action: Choose a character you control and a character an opponent controls. Choose one of those characters to go insane, then wound the other character.
Working a Hunch	Core	Core020			Core	Core	,01-020	LCG		Agency	Event		1						Action: Choose a character. Until the end of the phase, that character gains CC. If you overpaid for Working a Hunch, the chosen character also gains AI.
Professor Albert Wilmarth, Folklore Expert	Core	Core021			Core	Core	,01-021	LCG	*	Miskatonic University	Character	Investigator.	5		2		1	4	Heroic. While Professor Albert Wilmarth is committed to a story, that story card loses an icon struggle of your choice.
Dr. Ali Kafour, Middle Eastern Scholar	Core	Core022			Core	Core	,01-022	LCG	*	Miskatonic University	Character	Investigator.	4		1	1	1	3	Heroic. Response: After you commit Dr. Ali Kafour to a story, draw a card.
Steve Clarney, Soldier of Fortune	Core	Core023			Core	Core	,01-023	LCG	*	Agency	Character	Investigator.	3		2		1	2	Heroic. Willpower. While Steve Clarney is committed to a story, all characters lose all Toughness.
